CustomerID;Age;MonthlyIncome;TotalDebt;CreditLimit;PaymentHistory;NumberOfCreditCards;YearsWithCompany;AverageMonthlyBalance;CreditStatus
1;56;3721;14444;23458;On Time;1;8;2826;Bad
2;69;5713;11766;9015;On Time;3;5;2736;Good
3;46;5948;12998;12957;On Time;5;14;3197;Good
4;32;4288;16358;14886;On Time;4;2;4704;Bad
5;60;3842;9250;14572;On Time;5;10;2700;Bad
6;25;7414;4422;15347;On Time;2;18;3101;Good
7;38;5341;16505;27037;On Time;5;17;1998;Bad
8;56;5953;7351;9589;On Time;5;6;1891;Good
9;36;3766;6548;11432;On Time;5;17;1841;Bad
10;40;3171;1019;23219;On Time;5;17;1400;Bad
11;28;4145;12856;11920;Late;4;19;2325;Bad
12;28;4813;1892;16967;On Time;1;16;4761;Good
13;41;3403;6248;20173;On Time;4;2;2199;Bad
14;53;4985;12941;17432;Late;3;5;2658;Bad
15;57;2467;13609;15958;On Time;2;12;1580;Bad
16;41;3319;6741;19693;On Time;1;1;2775;Bad
17;20;6006;9329;10534;On Time;2;5;1909;Good
18;39;5905;5637;12518;On Time;2;8;2654;Good
19;19;4412;7258;17678;On Time;1;10;2647;Good
20;41;3473;11331;5000;On Time;1;3;2879;Bad
21;61;3458;7491;22082;On Time;3;6;4106;Bad
22;47;4440;8778;16516;On Time;4;13;4783;Good
23;55;5966;2676;15765;On Time;1;8;4773;Good
24;19;6392;15664;6847;Late;3;18;3107;Bad
25;38;4255;12550;8566;On Time;5;5;3172;Good
26;50;3269;13964;13007;On Time;1;6;3093;Bad
27;29;5401;16452;19037;Late;4;2;3769;Bad
28;39;3764;5873;5000;On Time;5;7;2310;Bad
29;61;4222;8208;18941;On Time;5;16;1982;Good
30;42;6987;525;13199;On Time;5;10;995;Good
31;66;6240;25702;13882;On Time;5;10;3891;Bad
32;44;5236;9252;16267;On Time;2;2;3223;Good
33;59;3092;15193;16346;On Time;4;8;2178;Bad
34;45;5317;3809;11437;Late;3;2;4605;Bad
35;33;6593;14981;18124;On Time;1;2;2338;Good
36;32;4436;19287;5000;On Time;3;13;4508;Bad
37;64;7026;9698;12747;On Time;2;4;2128;Good
38;68;6939;4945;15768;On Time;5;7;3181;Good
39;61;7495;9306;13275;On Time;1;14;3439;Good
40;69;5457;0;5865;On Time;4;5;2468;Good
41;20;5881;9810;18790;On Time;1;1;1709;Good
42;54;7121;14104;8758;On Time;1;1;3031;Good
43;68;5671;9821;14662;On Time;3;19;2223;Good
44;24;4248;8579;15765;On Time;5;6;1416;Good
45;38;4327;12637;15099;On Time;4;16;1185;Good
46;26;5357;13020;20845;On Time;1;12;3186;Good
