id_contrato,id_cliente,mes,beneficio,limite,gastado
8059,8059,11,1157.47,1200,42.53
8069,8069,11,1176.37,1200,23.63
7936,7936,11,956.47,1200,243.43
8114,8114,11,215.74,600,384.26
7215,7215,11,1132.03,1800,38.27
7076,7076,11,1462.26,1500,0.41
7088,7088,11,1888.73,2100,164.46
7120,7120,11,2834.12,3000,66.57
7067,7067,11,1088.91,1800,638.64
7102,7102,11,1378.56,1500,73.02
7202,7202,11,1013.92,1200,0.0
7238,7238,11,2049.04,2100,12.44
7189,7189,11,953.49,1000,22.53
7208,7208,11,586.52,600,0.16
7236,7236,11,586.24,600,0.04
7240,7240,11,587.48,600,3.15
7247,7247,11,2459.98,2700,145.02
7318,7318,11,581.01,600,0.0
7319,7319,11,2049.06,2100,0.0
7321,7321,11,1123.8,4200,49.78
7402,7402,11,737.39,800,42.66
7415,7415,11,507.55,600,83.52
7199,7199,11,515.37,600,6.14
7205,7205,11,1040.88,1200,121.61
7228,7228,11,1165.24,1200,5.76
7259,7259,11,1752.52,1800,3.03
7365,7365,11,1153.37,1200,18.3
7386,7386,11,1680.76,1800,101.24
7335,7335,11,3121.29,3500,208.71
7442,7442,11,1050.0,1200,125.16
7328,7328,11,1773.84,1800,26.16
7446,7446,11,1131.2,1200,50.39
7448,7448,11,0.0,600,0.0
7487,7487,11,1455.42,1500,6.68
7492,7492,11,1411.08,1500,62.24
7541,7541,11,1027.94,1800,164.86
7596,7596,11,516.31,600,83.69
7633,7633,11,566.45,600,0.0
7406,7406,11,589.27,600,2.87
7437,7437,11,1082.33,1200,0.99
7488,7488,11,1736.58,1800,35.5
7584,7584,11,1181.27,1200,18.73
7528,7528,11,567.25,600,0.0
7571,7571,11,546.16,600,3.84
7743,7743,11,565.19,600,14.78
7549,7549,11,819.37,1200,350.63
7561,7561,11,531.35,600,41.03
7717,7717,11,1126.73,1200,44.28
7718,7718,11,444.91,600,125.09
7773,7773,11,450.52,500,9.48
7835,7835,11,1451.97,1500,9.47
7874,7874,11,1959.4,2100,83.55
7920,7920,11,2095.1,2100,0.0
7576,7576,11,1469.36,1500,0.0
7754,7754,11,517.64,3200,682.36
7782,7782,11,1170.09,1200,0.0
7836,7836,11,1464.7,1500,4.86
7751,7751,11,1088.21,1200,11.79
7760,7760,11,1158.28,1200,9.28
7791,7791,11,809.55,900,70.07
7964,7964,11,1124.44,1200,57.92
7949,7949,11,1007.49,1200,186.36
8145,8145,11,869.99,1200,0.0
8161,8161,11,2171.89,2100,0.0
7844,7844,11,1173.37,1200,0.0
7991,7991,11,1562.17,2700,410.29
8087,8087,11,1164.76,1200,35.24
8053,8053,11,889.2,900,10.8
6228,6228,11,1175.65,1200,0.0
6176,6176,11,1019.43,1200,145.99
6184,6184,11,1494.77,1600,59.67
6219,6219,11,1209.07,1250,9.59
6315,6315,11,1397.63,1500,52.37
6326,6326,11,561.86,1200,0.0
6215,6215,11,1166.41,1200,11.63
6222,6222,11,1703.2,1800,24.8
6302,6302,11,524.19,600,45.81
6336,6336,11,534.19,600,29.47
6357,6357,11,523.71,600,36.29
6372,6372,11,1464.14,1800,300.08
6340,6340,11,975.64,1000,0.0
6325,6325,11,1447.36,1500,2.64
6363,6363,11,582.59,1800,6.36
6439,6439,11,597.01,600,0.0
6456,6456,11,2645.52,2700,54.48
6484,6484,11,568.01,600,17.73
6465,6465,11,1755.3,1800,0.31
6535,6535,11,2018.3,2100,43.82
6561,6561,11,1157.29,1200,13.81
6572,6572,11,1275.15,1500,174.85
6577,6577,11,2041.36,2100,6.19
6428,6428,11,567.57,600,23.46
6451,6451,11,573.67,600,6.33
6509,6509,11,1751.95,1800,6.26
6526,6526,11,548.28,600,31.72
6538,6538,11,1983.01,2400,345.38
6529,6529,11,588.33,600,11.67
6674,6674,11,639.65,900,248.19
6578,6578,11,582.52,600,2.75
6627,6627,11,454.94,600,135.6
6632,6632,11,574.9,600,5.67
6664,6664,11,2288.03,2400,0.0
